,0
1956-03-01,0.030096805131101717
1956-04-01,0.02352927441582851
1956-05-01,-0.02782861252690737
1956-06-01,-0.039052243859770006
1956-07-01,-0.052281339456162784
1956-08-01,-0.046420244560123676
1956-09-01,-0.10313367760466773
1956-10-01,-0.058257959494055295
1956-11-01,-0.08336906422757785
1956-12-01,-0.07238549912683248
1957-01-01,-0.045817568933284585
1957-02-01,-0.03548640432268078
1957-03-01,-0.0920770588088434
1957-04-01,-0.06200399683229806
1957-05-01,-0.02292933689585393
1957-06-01,-0.08344728397474878
1957-07-01,-0.13059453500905435
1957-08-01,-0.14121370051454554
1957-09-01,-0.14534810509726012
1957-10-01,-0.13678195570811322
1957-11-01,-0.20018359611494127
1957-12-01,-0.11177616990663143
1958-01-01,-0.16371105162645103
1958-02-01,-0.05492393026456406
1958-03-01,-0.10226744316916496
1958-04-01,-0.06973329544139921
1958-05-01,-0.09591260675624452
1958-06-01,-0.08065959457280798
1958-07-01,-0.12943475549844013
1958-08-01,-0.12037419728171288
1958-09-01,-0.10350673478782685
1958-10-01,-0.16819424848439443
1958-11-01,-0.12300982450313716
1958-12-01,-0.14973545402571212
1959-01-01,-0.14429455423301138
1959-02-01,-0.11524866442734756
1959-03-01,-0.13897814323776964
1959-04-01,-0.1445468596363179
1959-05-01,-0.11900435383198289
1959-06-01,-0.12978481878066137
1959-07-01,-0.15083642854316484
1959-08-01,-0.17697804367486167
1959-09-01,-0.15994892755928236
1959-10-01,-0.16780997750119878
1959-11-01,-0.17692322415596062
1959-12-01,-0.1815135034273525
1960-01-01,-0.17416068498431245
1960-02-01,-0.16565260699706583
1960-03-01,-0.18665563923512268
1960-04-01,-0.19015741116869656
1960-05-01,-0.17926950478858097
1960-06-01,-0.2099226990982621
1960-07-01,-0.23720523422682863
1960-08-01,-0.23309545743821564
1960-09-01,-0.24088314010080017
1960-10-01,-0.24595702782183343
1960-11-01,-0.2978804827859893
1960-12-01,-0.24169865810655292
1961-01-01,-0.30058772409717044
1961-02-01,-0.22872267706466934
1961-03-01,-0.23371661345610234
1961-04-01,-0.22155194847598664
1961-05-01,-0.22632235032311593
1961-06-01,-0.24416176187929745
1961-07-01,-0.2596886201112915
1961-08-01,-0.32047420934187515
1961-09-01,-0.26761308071907947
1961-10-01,-0.28213868050291274
1961-11-01,-0.3592285590092191
1961-12-01,-0.2993759068393102
1962-01-01,-0.29859677117569905
1962-02-01,-0.21388053644969346
1962-03-01,-0.2109722651143942
1962-04-01,-0.19649968980286323
1962-05-01,-0.2314738761172319
1962-06-01,-0.27707967728387695
1962-07-01,-0.2958661979779327
1962-08-01,-0.3289055315113949
1962-09-01,-0.3355243359281377
1962-10-01,-0.3533382366613628
1962-11-01,-0.3057888474197653
1962-12-01,-0.31239144636126165
1963-01-01,-0.37470811114805447
1963-02-01,-0.283759131157454
1963-03-01,-0.34049207565622414
1963-04-01,-0.28528965349756297
1963-05-01,-0.3096453930455911
1963-06-01,-0.2978199595036734
1963-07-01,-0.3661083252934046
1963-08-01,-0.4215636131129623
1963-09-01,-0.40092508555216694
1963-10-01,-0.37733965068043457
1963-11-01,-0.3813977098943433
1963-12-01,-0.39920499116304164
