,0
1975-07-01,-0.9750208503392597
1975-08-01,-1.0000350059750012
1975-09-01,-1.0126026943499438
1975-10-01,-1.0201807781361363
1975-11-01,-1.01686432447095
1975-12-01,-1.0026635789769476
1976-01-01,-0.9823906464571679
1976-02-01,-0.9665688978445869
1976-03-01,-0.9608654069965601
1976-04-01,-0.9614391667460307
1976-05-01,-0.9889628954648408
1976-06-01,-1.0289474404247272
1976-07-01,-1.0595680983638782
1976-08-01,-1.0900228234063638
1976-09-01,-1.0990085404057204
1976-10-01,-1.0958549804213122
1976-11-01,-1.0722640379679833
1976-12-01,-1.0507169900113358
1977-01-01,-1.0283283453701009
1977-02-01,-1.0072192744622939
1977-03-01,-0.9994000199084405
1977-04-01,-0.9632724415578536
1977-05-01,-0.9703406898532788
1977-06-01,-1.028418334508977
1977-07-01,-1.0939478551854562
1977-08-01,-1.1704685711326144
1977-09-01,-1.2344657311593281
1977-10-01,-1.2572237082912217
1977-11-01,-1.2369132414587982
1977-12-01,-1.1988883856414227
1978-01-01,-1.1517678370549418
1978-02-01,-1.1039640243466096
1978-03-01,-1.0774013274095617
1978-04-01,-1.019923668242095
1978-05-01,-0.9641306042887314
1978-06-01,-0.9920419904510395
1978-07-01,-1.041635160530253
1978-08-01,-1.0928744707916116
1978-09-01,-1.142824764681703
1978-10-01,-1.1451034510125746
1978-11-01,-1.1343793503511415
1978-12-01,-1.1123588279232977
1979-01-01,-1.0806779006676568
1979-02-01,-1.056512259516125
1979-03-01,-1.0451894805315067
1979-04-01,-1.045548673702832
1979-05-01,-1.0503918176687754
1979-06-01,-1.0579563721219003
1979-07-01,-1.056805529099449
1979-08-01,-1.0652715650972053
1979-09-01,-1.0653803005398004
1979-10-01,-1.0595828379023964
1979-11-01,-1.05228891139165
1979-12-01,-1.0454400720441113
1980-01-01,-1.0333317802771693
1980-02-01,-1.026070971607752
1980-03-01,-1.0256176013728706
1980-04-01,-1.019407666782676
1980-05-01,-1.018393375416868
1980-06-01,-1.0260562070108368
1980-07-01,-1.02330066048339
1980-08-01,-1.0278516213472813
1980-09-01,-1.033649570338774
1980-10-01,-1.0315251490542667
1980-11-01,-1.024494019905068
1980-12-01,-1.0173285940271228
1981-01-01,-1.006815602713695
1981-02-01,-0.9986369434975472
1981-03-01,-0.9969539778384982
1981-04-01,-1.0042167886024633
1981-05-01,-1.021821000326645
1981-06-01,-1.0455556643216724
1981-07-01,-1.068898855875487
1981-08-01,-1.0929637797390166
1981-09-01,-1.1152178560008
1981-10-01,-1.125338778079251
1981-11-01,-1.1319394779519674
1981-12-01,-1.1366365746611256
1982-01-01,-1.1370379537394915
1982-02-01,-1.1330698677259117
1982-03-01,-1.1343274053619805
1982-04-01,-1.1376116041240953
1982-05-01,-1.1440866732947188
1982-06-01,-1.1440684190753307
1982-07-01,-1.1623346101415362
1982-08-01,-1.1912022417704131
1982-09-01,-1.2086706186701757
1982-10-01,-1.2098060616803026
1982-11-01,-1.2012059375690904
1982-12-01,-1.1925404358498461
1983-01-01,-1.1759777143346677
1983-02-01,-1.164090374427647
1983-03-01,-1.1472568998471089
1983-04-01,-1.142206178245503
1983-05-01,-1.145944205553367
1983-06-01,-1.163645825275871
1983-07-01,-1.1789645578740382
1983-08-01,-1.1964782280611532
1983-09-01,-1.2129833371364722
1983-10-01,-1.2107217588600097
1983-11-01,-1.2005578969947457
1983-12-01,-1.192707903313565
1984-01-01,-1.181426292815291
1984-02-01,-1.1724190875759941
1984-03-01,-1.1699480219507914
1984-04-01,-1.171671943578172
1984-05-01,-1.1787682723516344
1984-06-01,-1.1881429559768264
1984-07-01,-1.2051921004032244
1984-08-01,-1.2225462995761587
1984-09-01,-1.2575266163283885
1984-10-01,-1.2597038731602879
1984-11-01,-1.266178846325244
1984-12-01,-1.254988378910462
1985-01-01,-1.2383197708042932
1985-02-01,-1.2299565301555184
1985-03-01,-1.2286879646882904
1985-04-01,-1.2360814685949895
1985-05-01,-1.244837598598517
1985-06-01,-1.2719817458137035
1985-07-01,-1.2925928219563927
1985-08-01,-1.313831327567816
1985-09-01,-1.3240787333158803
1985-10-01,-1.3278720001199875
1985-11-01,-1.320817420980144
1985-12-01,-1.3212670139302127
1986-01-01,-1.3102114810424217
1986-02-01,-1.3013801036852566
1986-03-01,-1.3014502833327348
1986-04-01,-1.3042894121011368
1986-05-01,-1.3148165070363351
1986-06-01,-1.3385466932668657
1986-07-01,-1.3523915000834814
1986-08-01,-1.3747988115451464
1986-09-01,-1.3876040099235503
1986-10-01,-1.3932947507448068
1986-11-01,-1.3874281582172978
1986-12-01,-1.383035746194851
1987-01-01,-1.3734556819540436
1987-02-01,-1.3669890658176218
1987-03-01,-1.3668845274472607
1987-04-01,-1.370302996027216
1987-05-01,-1.3782937113383156
1987-06-01,-1.4028298386298261
1987-07-01,-1.421121134850971
1987-08-01,-1.4409095907601657
1987-09-01,-1.4590170925429455
1987-10-01,-1.4616332419923872
1987-11-01,-1.4566854024641493
1987-12-01,-1.450424966540712
1988-01-01,-1.4419081025070202
1988-02-01,-1.4362156784137916
1988-03-01,-1.4350117791019428
1988-04-01,-1.440022890642563
1988-05-01,-1.4458440401239665
1988-06-01,-1.450488953586947
1988-07-01,-1.46272165435303
1988-08-01,-1.4886622115616175
1988-09-01,-1.5037103761255197
1988-10-01,-1.5110855984597447
1988-11-01,-1.5057205210874791
1988-12-01,-1.501124791529025
1989-01-01,-1.4820599621806283
1989-02-01,-1.475168309572734
1989-03-01,-1.474921585741532
1989-04-01,-1.4792460367845397
1989-05-01,-1.4897719532874847
1989-06-01,-1.506966838028045
1989-07-01,-1.5290719525291174
1989-08-01,-1.5494855143167332
1989-09-01,-1.5691755536497833
