,Train ME,Train RMSE,Train MAE,Train Points,Train r2,Validation ME,Validation RMSE,Validation MAE,Validation Points,Validation r2,Test ME,Test RMSE,Test MAE,Test Points,Test r2,Comp R2
373735113393801,-0.20466406968429376,3.094056844948619,2.225297549065849,462.0,0.9971779996561929,-0.04532120305137398,4.084626083738267,2.8380539484775618,198.0,0.9949458152982619,1.5818768052203538,15.480474919818382,13.609524070479116,165.0,0.5097234867512296,0.9859605418962962
373854113411501,0.23206299252556128,2.3129106132364647,1.8286650489092888,404.4,0.9980871295812145,0.25944526468174656,3.064249473364811,2.4021215797443194,174.0,0.9968160031404173,-3.1459414417319906,20.168315844154552,17.82652810735147,144.6,0.07752556021912885,0.991098325154663
374015113391501,-0.21289881940169814,1.6487450387630744,1.2536199165263633,207.0,0.9969013736278491,0.11261279374373953,1.7586951057338713,1.3756513830838761,89.0,0.9961028262452022,0.061319027857403084,6.987168876113519,6.1219771830270675,74.0,0.5011298827102545,0.9927597103940038
374020113343101,-0.2334982437302115,3.2920985280805484,1.9929071767794262,390.4,0.9951759841703016,-0.049040934744099714,2.8134960694383446,2.176993240669993,168.0,0.9977999679763284,-5.312130505175974,16.74461856577213,14.994417980838524,139.6,0.271340271074096,0.9908742118384806
374041113373501,-0.15182520273778133,1.7923107496357757,1.3374895077044546,309.4,0.9990353630476259,-0.15317941075066446,2.179240117372284,1.6631567193122272,133.0,0.9989945166804679,4.540065541754297,19.085591308410265,16.79634059982246,110.6,0.1608235212574689,0.9865148481701028
374053113415101,0.24694028987503008,1.8546647528692648,1.4146356597942258,275.0,0.9968422244895399,-0.042284458165721184,3.4609475356262065,2.0713475065329816,118.6,0.9876548407195085,0.40012756669630817,11.05328094209107,9.411132150181421,98.4,0.2503736182428337,0.9924257838332671
374127113335201,0.3226868992486307,1.982086579673732,1.4704348603102326,211.4,0.9985163953341164,0.5054504875499953,2.150884095392608,1.6237438042512373,91.0,0.9979673196139703,0.9031673193551256,9.831699513148793,8.603705035135743,75.6,0.2208328792843986,0.9945135196712716
374132113390301,-0.078001930490975,0.8851375847534182,0.718897795229428,86.0,0.9971398158015873,0.3012828934742749,1.4458423147448687,1.1138778425413014,38.0,0.9903678256598674,-0.4279158428040436,3.2421697270371146,2.7329325121280967,31.0,0.5090680352531286,0.9897175769693914
374155113372601,-0.11090665585927406,2.3885900931209627,1.5916938403319452,236.4,0.9934096768335114,-0.059743957068611256,2.90991886110769,1.8824977559576588,102.0,0.988623686529718,2.591807942992796,7.696018905580255,6.45409316707084,84.6,0.35865945248689635,0.9876947126551787
374227113412901,-0.005635166403744385,0.8352674159472524,0.6449401492705276,79.0,0.9955601678566571,-0.22590103167714423,1.5847821959944404,1.1554033377422346,34.6,0.9725334476567792,-0.5123965194581721,3.297425773520969,2.727928345794055,28.4,0.6588018263401108,0.9827202564365293
374228113420101,-0.05601966324117676,2.67389822397947,1.796569783540362,415.4,0.9969749548703637,0.20389151362469624,3.0029232162531394,2.267733882266936,179.0,0.9971628313845133,-2.1913961951524983,15.968096433294125,14.410478178372,148.6,0.24138576439875692,0.9871167713991099
374252113385801,-0.054365366252290284,1.1306162007829044,0.8487157872068284,88.2,0.9952874873836492,0.11506147735529874,1.4212683726829574,1.1266062777206176,39.0,0.9896210486040833,0.2375807970942147,3.3567082455724915,2.7490434136759445,31.8,0.7940757702856225,0.9916630234580092
374252113391801,-0.2194137826770588,2.0039040875361596,1.519118785907919,347.6,0.9974759085140994,-0.0840156538800402,2.119892438777363,1.656280593861975,150.0,0.9977340059404446,-1.0492058865732339,11.203576733242864,10.181328201696681,124.4,0.5022120397759898,0.9921827528568156
374306113422501,-0.009185781606280136,1.6703996633819993,1.3339488613676564,83.2,0.9956947992391033,-0.10673872080778893,2.964059894873054,2.232133755189049,36.0,0.9837249446153489,-0.5814479739820053,7.362304790584725,6.152412385572624,29.8,0.32526234851909114,0.9931427577359899
374312113405601,-0.0933045018117791,1.4260784195407858,1.096243248951029,249.0,0.9976694761512093,0.08492825225819053,1.5749814448350725,1.2590788234551744,107.0,0.9973038387322264,1.355293215879195,6.663735594464862,5.83823277173635,89.0,0.4180091141129435,0.9936186401981719
