,Longitude,Latitude
3.74032E+14,-113.6749658,37.67552878
3.74033E+14,-113.6582986,37.6758067
3.74035E+14,-113.6582986,37.67636225
3.7404E+14,-113.5760737,37.67775187
3.7404E+14,-113.5760737,37.67775187
3.7404E+14,-113.6557985,37.6777511
3.7404E+14,-113.6560763,37.6777511
3.7404E+14,-113.665521,37.677751
3.74041E+14,-113.566629,37.6780297
3.74041E+14,-113.6271865,37.67802916
3.74041E+14,-113.7160782,37.6780283
3.74041E+14,-113.7160782,37.6780283
3.74042E+14,-113.5877408,37.6783073
3.74048E+14,-113.587463,37.6799739
3.74053E+14,-113.6380202,37.6813623
3.74053E+14,-113.6702435,37.681362
3.74053E+14,-113.6702435,37.681362
3.74053E+14,-113.693022,37.68136179
3.74053E+14,-113.6982999,37.6813617
3.74055E+14,-113.6546874,37.68191769
3.74056E+14,-113.6527429,37.68219548
3.74058E+14,-113.6635766,37.6827509
3.74102E+14,-113.6557986,37.68386208
3.74104E+14,-113.655243,37.6844176
3.74105E+14,-113.6535763,37.6846954
3.74106E+14,-113.6713547,37.684973
3.74107E+14,-113.6655211,37.6852508
3.74108E+14,-113.6716324,37.68552855
3.74112E+14,-113.6752437,37.6866396
3.74118E+14,-113.6619099,37.68830635
3.74119E+14,-113.6471873,37.68858426
3.74119E+14,-113.647465,37.68858426
3.74127E+14,-113.5652403,37.6908072
3.74128E+14,-113.6530208,37.69108414
3.7413E+14,-113.6594099,37.6916396
3.74131E+14,-113.5921856,37.69191805
3.74131E+14,-113.6519097,37.69191746
3.74131E+14,-113.6555209,37.6919174
3.74132E+14,-113.6507985,37.69219525
3.74132E+14,-113.651354,37.69219524
3.74132E+14,-113.6516319,37.6921952
3.74132E+14,-113.6607988,37.69219515
3.74132E+14,-113.6607988,37.69219515
3.74132E+14,-113.6688547,37.69219507
3.74132E+14,-113.693022,37.6921948
3.74132E+14,-113.6932999,37.6921948
3.74133E+14,-113.6555209,37.69247297
3.74133E+14,-113.6560765,37.69247296
3.74133E+14,-113.6613544,37.6924729
3.74133E+14,-113.6613544,37.6924729
3.74133E+14,-113.6616322,37.6924729
3.74133E+14,-113.6616322,37.6924729
3.74134E+14,-113.6688547,37.6927506
3.74134E+14,-113.6983,37.6927503
3.74135E+14,-113.6016303,37.69302904
3.74135E+14,-113.6555209,37.6930285
3.74138E+14,-113.6019081,37.69386235
3.74139E+14,-113.6510763,37.6941396
3.7414E+14,-113.5999636,37.6944179
3.7414E+14,-113.6510763,37.6944174
3.7414E+14,-113.6724659,37.6944172
3.74142E+14,-113.6552432,37.6949729
3.74144E+14,-113.66191,37.69552838
3.74145E+14,-113.6724659,37.69580605
3.74145E+14,-113.6730215,37.69580605
3.74148E+14,-113.6352425,37.6966397
3.74148E+14,-113.6663546,37.6966394
3.74155E+14,-113.6246867,37.6985842
